Id,Salary
756493,249600.0
725434,95340.20442930154
523098,145200.0
937886,87120.0
738903,92800.0
287738,48960.0
716536,104874.22487223169
648645,117519.99999999999
907412,271320.0
530575,82320.0
967160,148480.0
557803,154440.0
249644,67680.0
260799,133200.0
344993,168000.00000000003
923358,56000.0
631933,89760.0
522850,99439.99999999999
240669,103740.0
193244,241920.0
106052,74880.0
861811,222719.99999999997
730303,224400.0
844892,110880.0
541993,194147.32538330494
711656,236160.0
925931,128039.99999999999
249304,143880.0
710565,86240.0
382438,173538.43270868825
177542,66352.93015332198
780944,79200.00000000001
398947,57120.00000000001
580522,72240.0
674932,194532.53833049402
806029,85800.0
834388,151320.0
386800,140800.00000000003
564661,212160.0
677656,67412.26575809199
204487,96800.00000000001
537757,73920.0
236784,95340.20442930154
349925,106480.0
319629,107520.0
641730,67604.87223168653
907689,66978.90119250426
994579,111600.00000000001
195419,218879.99999999997
369144,138600.0
590704,95920.00000000001
205260,122880.0
642014,124800.0
322759,147840.0
766458,95340.20442930154
892092,136800.0
463658,128000.0
308859,166411.99318568993
511673,88984.19080068142
114204,188160.0
881167,222719.99999999997
436720,174720.0
852422,117480.0
856782,60480.00000000001
349500,152400.0
723758,131039.99999999999
973734,70108.75638841567
737940,69916.14991482112
160274,148800.0
997992,166400.00000000003
326703,146400.0
411801,216240.0
949539,195840.0
744785,174720.0
572098,84480.0
980995,102755.55366269166
896864,172575.4003407155
119120,138869.2674616695
365981,180279.6592844974
964667,273600.0
903038,230400.0
795320,138240.00000000003
979606,124800.0
653087,163200.0
597796,205440.0
394128,57120.0
189021,79200.0
543522,62720.00000000001
266312,158400.0
156553,124800.0
181904,58648.671209540036
393005,129600.0
113959,103044.46337308349
773003,125120.00000000001
123160,77600.0
189549,166411.99318568993
213854,92499.25894378193
959155,83200.00000000001
427686,61040.00000000001
164966,201600.0
415346,135960.0
285040,50960.00000000001
209808,93840.00000000001
768000,141758.36456558772
361968,149462.62350936967
260140,92800.0
808141,166400.00000000003
711036,98280.0
204325,84000.0
136626,82720.0
185508,130298.27938671209
895230,146520.0
861443,91520.00000000001
164948,180479.99999999997
876366,165120.0
664225,84800.00000000001
938936,80960.00000000001
804537,65519.99999999999
821975,45120.0
498622,85680.0
785340,95680.00000000001
876173,191880.0
731634,116960.00000000001
137210,123760.0
176766,96000.0
817867,226560.0
785274,186240.0
138003,92400.00000000001
434137,124800.0
904631,107520.0
150582,83200.00000000001
462875,203520.0
540205,88406.37137989778
104229,151003.47529812605
973382,203392.43611584327
358523,153600.0
313341,92400.0
809576,122319.99999999999
598102,230400.0
751436,152544.32708688246
864915,64041.65247018739
613817,59360.00000000001
110819,81900.0
411407,57120.00000000001
603878,207360.0
499547,132000.0
628146,110080.00000000001
281972,145200.0
925206,116526.91652470188
932298,94160.00000000001
761546,199680.0
324650,160480.0
250515,265200.0
856329,92400.0
480321,92499.25894378193
648414,116526.91652470188
689407,48960.0
148324,188160.0
673445,124800.0
680768,141240.0
484509,104160.0
131915,197760.0
929249,125120.00000000001
948337,156160.0
179967,95040.00000000001
870824,158720.0
884893,133120.0
802338,92040.0
613673,47520.0
690461,125120.00000000001
238177,69120.0
364702,124160.0
885298,69120.0
934194,64399.99999999999
700410,81900.0
436285,76127.70868824531
125121,58800.00000000001
513728,102755.55366269166
475655,96720.00000000001
449616,115440.00000000001
185673,195840.0
840378,163200.0
627305,132705.86030664397
614245,171600.0
475648,206040.0
697338,165000.0
713002,56048.48381601363
353169,74400.00000000001
174422,114600.85178875638
105083,121380.0
240528,85680.0
962350,95200.0
382992,83160.0
565457,176279.99999999997
832844,54880.0
755334,137760.0
234218,124160.0
716838,124160.0
241862,129360.0
308495,110160.0
879493,95920.00000000001
273389,80220.59625212947
708354,192000.0
133026,72800.00000000001
472820,127840.0
931289,85680.0
346247,207360.0
582103,91560.0
694031,92400.00000000001
205583,129360.0
194211,148480.0
695061,172575.4003407155
569002,87360.0
505466,75480.00000000001
197241,87840.0
107678,73600.00000000001
404625,140800.00000000003
865067,99960.0
439196,210000.0
955094,90525.04258943781
216646,124079.99999999999
213864,53040.00000000001
773143,75600.0
810588,188160.0
910778,65600.0
302522,56680.00000000001
766803,73440.0
841350,87200.00000000001
219146,140217.51277683134
794643,174080.0
